"Internal ProfileID","3fafa527-3ef2-4d05-be39-309dfff51f4f"
"Location","CA"
"Device Name","UPS2  BB2"
"Device ID","1"
"Battery Series","1"
"Battery Type",""
"Battery Number","190"
"Battery Start ID","1"
"Capacity","1000 Ah"
"Time Created","2026-01-09 15:10:24"
"Time Modified","2026-01-09 15:22:04"
"Custom Value 1",""
"Custom Value 2",""
"Custom Value 3",""
"Custom Value 4",""
"Custom Value 5",""
"Table1","mΩ-Volt (Temperature)"
"--------------------"
"ID","Resistance(mΩ)","VDC","Temperature(℃)","Time"
"001","0.35","2.246","0","2026-01-09 15:10:48"
"002","0.36","2.246","0","2026-01-09 15:10:49"
"003","0.36","2.246","0","2026-01-09 15:10:50"
"004","0.36","2.246","0","2026-01-09 15:10:50"
"005","0.37","2.246","0","2026-01-09 15:10:52"
"006","0.37","2.246","0","2026-01-09 15:10:53"
"007","0.37","2.246","0","2026-01-09 15:10:53"
"008","0.89","2.231","0","2026-01-09 15:10:59"
"009","0.21","2.245","0","2026-01-09 15:11:14"
"010","0.21","2.245","0","2026-01-09 15:11:15"
"011","0.22","2.245","0","2026-01-09 15:11:16"
"012","0.22","2.245","0","2026-01-09 15:11:16"
"013","0.22","2.245","0","2026-01-09 15:11:17"
"014","0.22","2.245","0","2026-01-09 15:11:19"
"015","0.22","2.245","0","2026-01-09 15:11:20"
"016","0.28","2.229","0","2026-01-09 15:11:31"
"017","0.28","2.229","0","2026-01-09 15:11:31"
"018","0.27","2.229","0","2026-01-09 15:11:34"
"019","0.27","2.229","0","2026-01-09 15:11:35"
"020","0.27","2.229","0","2026-01-09 15:11:36"
"021","0.27","2.229","0","2026-01-09 15:11:37"
"022","0.27","2.229","0","2026-01-09 15:11:37"
"023","0.32","2.230","0","2026-01-09 15:11:42"
"024","0.30","2.230","0","2026-01-09 15:11:44"
"025","0.27","2.231","0","2026-01-09 15:11:50"
"026","0.27","2.231","0","2026-01-09 15:11:51"
"027","0.27","2.231","0","2026-01-09 15:11:51"
"028","0.27","2.231","0","2026-01-09 15:11:53"
"029","0.27","2.231","0","2026-01-09 15:11:54"
"030","0.66","2.230","0","2026-01-09 15:12:07"
"031","0.67","2.230","0","2026-01-09 15:12:09"
"032","0.67","2.229","0","2026-01-09 15:12:09"
"033","0.28","2.232","0","2026-01-09 15:12:15"
"034","0.29","2.232","0","2026-01-09 15:12:16"
"035","0.30","2.232","0","2026-01-09 15:12:25"
"036","0.30","2.232","0","2026-01-09 15:12:26"
"037","0.31","2.231","0","2026-01-09 15:12:35"
"038","0.30","2.231","0","2026-01-09 15:12:36"
"039","0.30","2.231","0","2026-01-09 15:12:37"
"040","0.29","2.231","0","2026-01-09 15:12:38"
"041","0.29","2.230","0","2026-01-09 15:12:39"
"042","0.29","2.230","0","2026-01-09 15:12:40"
"043","0.29","2.230","0","2026-01-09 15:12:41"
"044","0.28","2.230","0","2026-01-09 15:12:42"
"045","0.28","2.230","0","2026-01-09 15:12:43"
"046","0.28","2.231","0","2026-01-09 15:12:44"
"047","0.28","2.231","0","2026-01-09 15:12:46"
"048","0.29","2.229","0","2026-01-09 15:12:52"
"049","0.29","2.229","0","2026-01-09 15:12:53"
"050","0.28","2.229","0","2026-01-09 15:12:54"
"051","0.28","2.229","0","2026-01-09 15:12:55"
"052","0.28","2.229","0","2026-01-09 15:12:56"
"053","0.27","2.229","0","2026-01-09 15:12:57"
"054","0.27","2.229","0","2026-01-09 15:13:00"
"055","0.25","2.232","0","2026-01-09 15:13:06"
"056","0.47","2.231","0","2026-01-09 15:13:14"
"057","0.48","2.231","0","2026-01-09 15:13:15"
"058","0.48","2.231","0","2026-01-09 15:13:16"
"059","0.48","2.231","0","2026-01-09 15:13:17"
"060","0.49","2.231","0","2026-01-09 15:13:18"
"061","0.50","2.231","0","2026-01-09 15:13:19"
"062","0.50","2.231","0","2026-01-09 15:13:20"
"063","0.89","2.231","0","2026-01-09 15:13:25"
"064","0.88","2.231","0","2026-01-09 15:13:27"
"065","0.87","2.231","0","2026-01-09 15:13:27"
"066","0.86","2.231","0","2026-01-09 15:13:29"
"067","0.85","2.231","0","2026-01-09 15:13:32"
"068","0.85","2.231","0","2026-01-09 15:13:32"
"069","0.94","4.491","0","2026-01-09 15:13:45"
"070","0.95","4.491","0","2026-01-09 15:13:46"
"071","0.95","4.491","0","2026-01-09 15:13:47"
"072","0.29","2.230","0","2026-01-09 15:13:56"
"073","0.29","2.230","0","2026-01-09 15:13:57"
"074","0.29","2.230","0","2026-01-09 15:13:57"
"075","0.70","2.240","0","2026-01-09 15:14:10"
"076","0.46","2.240","0","2026-01-09 15:14:15"
"077","0.46","2.240","0","2026-01-09 15:14:16"
"078","0.46","2.240","0","2026-01-09 15:14:16"
"079","0.45","2.240","0","2026-01-09 15:14:18"
"080","0.44","2.240","0","2026-01-09 15:14:19"
"081","0.43","2.240","0","2026-01-09 15:14:20"
"082","0.43","2.240","0","2026-01-09 15:14:21"
"083","0.54","2.240","0","2026-01-09 15:14:22"
"084","0.55","2.240","0","2026-01-09 15:14:22"
"085","0.55","2.240","0","2026-01-09 15:14:24"
"086","0.54","2.240","0","2026-01-09 15:14:25"
"087","0.54","2.240","0","2026-01-09 15:14:26"
"088","0.23","2.246","0","2026-01-09 15:15:18"
"089","0.23","2.246","0","2026-01-09 15:15:19"
"090","0.69","2.230","0","2026-01-09 15:16:25"
"091","0.70","2.230","0","2026-01-09 15:16:26"
"092","0.76","2.230","0","2026-01-09 15:16:27"
"093","0.76","2.230","0","2026-01-09 15:16:28"
"094","0.76","2.230","0","2026-01-09 15:16:29"
"095","0.76","2.230","0","2026-01-09 15:16:30"
"096","0.76","2.230","0","2026-01-09 15:16:32"
"097","0.76","2.230","0","2026-01-09 15:16:32"
"098","0.76","2.230","0","2026-01-09 15:16:33"
"099","0.76","2.230","0","2026-01-09 15:16:34"
"100","0.76","2.230","0","2026-01-09 15:16:35"
"101","0.76","2.230","0","2026-01-09 15:16:36"
"102","0.24","2.231","0","2026-01-09 15:16:42"
"103","0.25","2.231","0","2026-01-09 15:16:43"
"104","0.25","2.231","0","2026-01-09 15:16:44"
"105","0.25","2.231","0","2026-01-09 15:16:44"
"106","0.25","2.231","0","2026-01-09 15:16:45"
"107","0.63","2.230","0","2026-01-09 15:16:56"
"108","0.73","2.230","0","2026-01-09 15:16:57"
"109","0.65","2.230","0","2026-01-09 15:16:58"
"110","0.48","2.230","0","2026-01-09 15:16:59"
"111","0.38","2.230","0","2026-01-09 15:17:00"
"112","0.30","2.230","0","2026-01-09 15:17:01"
"113","0.29","2.230","0","2026-01-09 15:17:03"
"114","0.29","2.230","0","2026-01-09 15:17:04"
"115","0.28","2.230","0","2026-01-09 15:17:05"
"116","0.28","2.230","0","2026-01-09 15:17:06"
"117","0.76","2.230","0","2026-01-09 15:17:11"
"118","0.76","2.230","0","2026-01-09 15:17:12"
"119","0.75","2.230","0","2026-01-09 15:17:14"
"120","0.75","2.230","0","2026-01-09 15:17:14"
"121","0.75","2.230","0","2026-01-09 15:17:15"
"122","0.62","2.229","0","2026-01-09 15:17:26"
"123","0.26","2.229","0","2026-01-09 15:17:27"
"124","0.26","2.229","0","2026-01-09 15:17:28"
"125","0.25","2.229","0","2026-01-09 15:17:30"
"126","0.25","2.229","0","2026-01-09 15:17:31"
"127","0.25","2.229","0","2026-01-09 15:17:31"
"128","0.25","2.229","0","2026-01-09 15:17:32"
"129","0.28","2.229","0","2026-01-09 15:17:38"
"130","0.28","2.229","0","2026-01-09 15:17:39"
"131","0.28","2.229","0","2026-01-09 15:17:40"
"132","0.28","2.229","0","2026-01-09 15:17:41"
"133","0.60","2.229","0","2026-01-09 15:17:47"
"134","0.60","2.228","0","2026-01-09 15:17:48"
"135","0.73","2.230","0","2026-01-09 15:17:52"
"136","0.74","2.230","0","2026-01-09 15:17:53"
"137","0.74","2.230","0","2026-01-09 15:17:53"
"138","0.74","2.230","0","2026-01-09 15:17:55"
"139","0.75","2.230","0","2026-01-09 15:17:56"
"140","0.75","2.230","0","2026-01-09 15:17:57"
"141","0.75","2.230","0","2026-01-09 15:17:58"
"142","0.86","2.230","0","2026-01-09 15:18:09"
"143","0.86","2.230","0","2026-01-09 15:18:11"
"144","0.85","2.230","0","2026-01-09 15:18:12"
"145","0.85","2.230","0","2026-01-09 15:18:13"
"146","0.64","2.232","0","2026-01-09 15:18:19"
"147","0.63","2.232","0","2026-01-09 15:18:20"
"148","0.63","2.232","0","2026-01-09 15:18:22"
"149","0.63","2.232","0","2026-01-09 15:18:23"
"150","0.63","2.232","0","2026-01-09 15:18:24"
"151","0.73","2.229","0","2026-01-09 15:18:41"
"152","0.73","2.229","0","2026-01-09 15:18:42"
"153","0.73","2.229","0","2026-01-09 15:18:43"
"154","0.27","2.227","0","2026-01-09 15:18:51"
"155","0.27","2.227","0","2026-01-09 15:18:52"
"156","0.28","2.227","0","2026-01-09 15:18:53"
"157","0.28","2.227","0","2026-01-09 15:18:54"
"158","0.28","2.227","0","2026-01-09 15:18:55"
"159","0.28","2.227","0","2026-01-09 15:18:56"
"160","0.28","2.227","0","2026-01-09 15:18:57"
"161","0.78","2.230","0","2026-01-09 15:19:10"
"162","0.72","2.230","0","2026-01-09 15:19:11"
"163","0.71","2.230","0","2026-01-09 15:19:12"
"164","0.71","2.230","0","2026-01-09 15:19:13"
"165","0.59","2.228","0","2026-01-09 15:19:18"
"166","0.67","2.228","0","2026-01-09 15:19:19"
"167","0.75","2.228","0","2026-01-09 15:19:21"
"168","0.67","2.228","0","2026-01-09 15:19:22"
"169","0.77","2.229","0","2026-01-09 15:21:30"
"170","0.67","2.225","0","2026-01-09 15:19:39"
"171","0.68","2.225","0","2026-01-09 15:19:40"
"172","0.69","2.224","0","2026-01-09 15:19:41"
"173","0.70","2.224","0","2026-01-09 15:19:42"
"174","0.69","2.224","0","2026-01-09 15:19:43"
"175","0.69","2.224","0","2026-01-09 15:19:44"
"176","0.60","2.224","0","2026-01-09 15:19:45"
"177","0.60","2.225","0","2026-01-09 15:19:46"
"178","0.60","2.224","0","2026-01-09 15:19:47"
"179","0.49","2.224","0","2026-01-09 15:19:48"
"180","0.49","2.224","0","2026-01-09 15:19:49"
"181","0.48","2.224","0","2026-01-09 15:19:50"
"182","0.48","2.225","0","2026-01-09 15:19:51"
"183","0.42","2.225","0","2026-01-09 15:19:53"
"184","0.42","2.224","0","2026-01-09 15:19:53"
"185","0.50","2.224","0","2026-01-09 15:19:54"
"186","0.31","2.224","0","2026-01-09 15:20:07"
"187","0.88","2.227","0","2026-01-09 15:20:22"
"188","0.87","2.227","0","2026-01-09 15:20:24"
"189","0.88","2.227","0","2026-01-09 15:20:25"
"190","0.71","2.228","0","2026-01-09 15:20:37"
"Table2","VDC"
"--------------------"
"ID","VDC","Time"
"Table3","VAC"
"--------------------"
"ID","VAC","HZ","Time"
"Table4","RIPPLE"
"--------------------"
"ID","mVAC","VDC","Time"
"Table5","AUX"
"--------------------"
"ID","AAC/ADC","HZ/DC","Time"
"Table6","DISCHARGE VOLTS"
"--------------------"
"ID",
"Table7","Strap"
"--------------------"
"ID","Resistance(mΩ)","Time"
"--------------------"
"Below is for import data back Battery Manager, Please DO NOT remove or modify!"
"<-------------------->"
00IfUAATY1MDAyNTAwNTAxNTMzMjM1MzkzODM3MyAwMS8wOS8yNiAxNTowOCBjcmVh84
01dGVkIGludGVybmFsbHkAAAAAAABgGmFpHB1haUNBAGFtZWQgc2l0ZQBOAABVUFMyB0
