Cell_ID,Voltage_V,Temperature_C,Cycle_Count,Timestamp
1,3.205,25.1,102,2023-10-01T08:00:00Z
2,3.204,25.2,102,2023-10-01T08:00:00Z
3,3.198,24.9,102,2023-10-01T08:00:00Z
4,3.200,25.0,102,2023-10-01T08:00:00Z
5,3.150,26.5,102,2023-10-01T08:00:00Z
6,3.205,25.1,102,2023-10-01T08:00:00Z
7,3.203,25.0,102,2023-10-01T08:00:00Z
8,3.204,25.1,102,2023-10-01T08:00:00Z
9,3.050,28.2,102,2023-10-01T08:00:00Z
10,3.206,25.0,102,2023-10-01T08:00:00Z
11,3.205,25.1,102,2023-10-01T08:00:00Z
12,3.204,25.0,102,2023-10-01T08:00:00Z
